Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,left_text.started,left_text.stopped,right_text.started,right_text.stopped,cue_file2.started,cue_file2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,fixation_text.stopped,iti_blank.started,iti_blank.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.674397916998714,44.674397916998714,2,1.2576233330182731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s024,001,2025-02-27_11h44.33.238,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s024,001,2025-02-27_11h44.33.238,soundcheck2_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,2,,,,,0,0,0,0,,,,,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.042884709016654,46.08190787502099,46.08190787502099,46.08190787502099,46.042884709016654,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.076218042349986,46.08190787502099,46.076218042349986,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,46.08190787502099,48.08698429202195,51.37450333399465,51.37450333399465,None,0,,,reldom2_s024,001,2025-02-27_11h44.33.238,soundcheck2_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,51.37450333399465,51.37450333399465,51.37450333399465,51.37450333399465,51.37450333399465,51.37450333399465,51.37450333399465,51.37450333399465,51.36115791734968,51.37450333399465,51.37450333399465,51.37450333399465,51.36115791734968,51.37450333399465,51.37450333399465,51.37450333399465,53.49283116700826,57.36861708399374,51.37450333399465,51.37450333399465,56.650291625002865,51.37450333399465,51.37450333399465,51.37450333399465,56.650291625002865,51.86323141667914,,53.49548341666038,,51.37450333399465,56.650291625002865,51.37450333399465,56.650291625002865,51.37450333399465,56.633730208995985,57.44991566700628,1,1,1.0976495420036372,,reldom2_s024,001,2025-02-27_11h44.33.238,soundcheck2_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,57.44991566700628,57.44991566700628,57.44991566700628,57.44991566700628,57.44991566700628,57.44991566700628,57.44991566700628,57.44991566700628,57.4352837506604,57.44991566700628,57.44991566700628,57.44991566700628,57.4352837506604,57.44991566700628,57.44991566700628,57.44991566700628,59.55690758401761,63.42467575002229,57.44991566700628,57.44991566700628,57.44991566700628,57.44991566700628,62.70660412500729,57.44991566700628,62.70660412500729,57.94175275066324,58.93886795901926,59.55943650068754,,57.44991566700628,62.70660412500729,57.44991566700628,62.70660412500729,57.44991566700628,62.697633625008166,63.51696737500606,1,1,0.8213461250124965,,reldom2_s024,001,2025-02-27_11h44.33.238,soundcheck2_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,63.51696737500606,63.51696737500606,63.51696737500606,63.51696737500606,63.51696737500606,63.51696737500606,63.51696737500606,63.51696737500606,63.50203541667821,63.51696737500606,63.51696737500606,63.51696737500606,63.50203541667821,63.51696737500606,63.51696737500606,63.51696737500606,65.62639054202009,69.51345695901546,63.51696737500606,63.51696737500606,68.76510370901087,63.51696737500606,63.51696737500606,63.51696737500606,68.76510370901087,64.00813875068367,,65.62921120867055,,63.51696737500606,68.76510370901087,63.51696737500606,68.76510370901087,63.51696737500606,68.75632604199927,69.59502925002016,1,1,1.1714180410199333,,reldom2_s024,001,2025-02-27_11h44.33.238,soundcheck2_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,69.59502925002016,69.59502925002016,69.59502925002016,69.59502925002016,69.59502925002016,69.59502925002016,69.59502925002016,69.59502925002016,69.58012362568212,69.59502925002016,69.59502925002016,69.59502925002016,69.58012362568212,69.59502925002016,69.59502925002016,69.59502925002016,71.70415779200266,75.56937320900033,69.59502925002016,69.59502925002016,69.59502925002016,69.59502925002016,74.84644558400032,69.59502925002016,74.84644558400032,70.084479500689,,71.70534758366217,,69.59502925002016,74.84644558400032,69.59502925002016,74.84644558400032,69.59502925002016,74.83734587501385,75.61141883401433,1,1,0.7436654579942115,,reldom2_s024,001,2025-02-27_11h44.33.238,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.61141883401433,,,,,,,
