Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.329566582979169,11.329566582979169,2,1.137227333005285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,,,,,0,0,0,0,,,,,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.584023333647444,12.68605324998498,12.68605324998498,12.68605324998498,12.584023333647444,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.634023333647445,12.68605324998498,12.68605324998498,12.68605324998498,12.634023333647445,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,12.68605324998498,17.8611259169993,17.8611259169993,18.920830582996132,None,0,,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
1,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_high-pitch_F_loud.wav,stimulus/audwhat_stim/string cello_low-pitch_D_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Category,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,18.920830582996132,18.920830582996132,18.920830582996132,18.920830582996132,18.920830582996132,18.920830582996132,18.920830582996132,18.920830582996132,18.8475459579844,18.920830582996132,18.920830582996132,18.920830582996132,18.8475459579844,18.920830582996132,18.920830582996132,18.920830582996132,20.998499749985058,24.893374291976215,18.920830582996132,18.920830582996132,24.232479124999372,18.920830582996132,18.920830582996132,18.920830582996132,18.920830582996132,19.365737874992192,20.42518895797548,19.338217958666306,,20.998499749985058,22.065187207976123,20.97085262465795,,18.920830582996132,24.232479124999372,18.920830582996132,24.232479124999372,24.149264957988635,25.097648874972947,18.920830582996132,1,1,1.201510499988217,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
2,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,25.097648874972947,25.097648874972947,25.097648874972947,25.097648874972947,25.097648874972947,25.097648874972947,25.097648874972947,25.097648874972947,25.026707625309548,25.097648874972947,25.097648874972947,25.097648874972947,25.026707625309548,25.097648874972947,25.097648874972947,25.097648874972947,27.18267791697872,31.068206457974156,25.097648874972947,25.097648874972947,30.40887337498134,25.097648874972947,25.097648874972947,25.097648874972947,25.097648874972947,25.584095624973997,26.651847582979826,25.55595879163981,26.607749541988596,27.18267791697872,28.244736999971792,27.15526433365109,,25.097648874972947,30.40887337498134,25.097648874972947,30.40887337498134,30.325252374983393,31.271830499987118,25.097648874972947,1,0,2.287143916997593,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
3,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Pitch,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,31.271830499987118,31.271830499987118,31.271830499987118,31.271830499987118,31.271830499987118,31.271830499987118,31.271830499987118,31.271830499987118,31.20153979130749,31.271830499987118,31.271830499987118,31.271830499987118,31.20153979130749,31.271830499987118,31.271830499987118,31.271830499987118,33.36114174997783,37.22422266699141,31.271830499987118,31.271830499987118,36.56104816697189,31.271830499987118,31.271830499987118,31.271830499987118,31.271830499987118,31.76158924997435,32.827249416994164,31.733765041663233,32.78284620799241,33.36114174997783,34.428320499981055,33.333081624649154,,31.271830499987118,36.56104816697189,31.271830499987118,36.56104816697189,36.47738708299585,37.42788045798079,31.271830499987118,2,1,2.1960408329905476,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
4,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Pitch,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,37.42788045798079,37.42788045798079,37.42788045798079,37.42788045798079,37.42788045798079,37.42788045798079,37.42788045798079,37.42788045798079,37.35755600032474,37.42788045798079,37.42788045798079,37.42788045798079,37.35755600032474,37.42788045798079,37.42788045798079,37.42788045798079,39.52203045799979,43.382201332977274,37.42788045798079,37.42788045798079,42.7201787919912,37.42788045798079,37.42788045798079,37.42788045798079,37.42788045798079,37.91986512497533,38.98995408299379,37.88939679164129,,39.52203045799979,40.5894047919719,39.494115208657846,40.54526024998631,37.42788045798079,42.7201787919912,37.42788045798079,42.7201787919912,42.63640312498319,43.603195416973904,37.42788045798079,1,1,2.101096875005169,,reldom2_s023,001,2025-02-27_15h24.04.930,audwhat_practice_AC,2022.2.5,None,
