Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,left_text.started,left_text.stopped,right_text.started,right_text.stopped,cue_file2.started,cue_file2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,fixation_text.stopped,iti_blank.started,iti_blank.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.068403916084208,7.068403916084208,2,3.334576957859099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s033,001,2025-03-12_16h59.41.814,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s033,001,2025-03-12_16h59.41.814,soundcheck2_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,2,,,,,0,0,0,0,,,,,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.506225749989973,10.547552000032738,10.547552000032738,10.547552000032738,10.506225749989973,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.539559083323306,10.547552000032738,10.539559083323306,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,10.547552000032738,12.559868291020393,15.848114458029158,15.848114458029158,None,0,,,reldom2_s033,001,2025-03-12_16h59.41.814,soundcheck2_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,15.848114458029158,15.848114458029158,15.848114458029158,15.848114458029158,15.848114458029158,15.848114458029158,15.848114458029158,15.848114458029158,15.831335583430095,15.848114458029158,15.848114458029158,15.848114458029158,15.831335583430095,15.848114458029158,15.848114458029158,15.848114458029158,17.96008150000125,21.83189083309844,15.848114458029158,15.848114458029158,21.096857625059783,15.848114458029158,15.848114458029158,15.848114458029158,21.096857625059783,16.330032957663448,,17.96325808269127,,15.848114458029158,21.096857625059783,15.848114458029158,21.096857625059783,15.848114458029158,21.087351458030753,21.915700040990487,1,1,1.4135481249541044,,reldom2_s033,001,2025-03-12_16h59.41.814,soundcheck2_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,21.915700040990487,21.915700040990487,21.915700040990487,21.915700040990487,21.915700040990487,21.915700040990487,21.915700040990487,21.915700040990487,21.898557499765108,21.915700040990487,21.915700040990487,21.915700040990487,21.898557499765108,21.915700040990487,21.915700040990487,21.915700040990487,24.02763741603121,27.888209833065048,21.915700040990487,21.915700040990487,21.915700040990487,21.915700040990487,27.166623041033745,21.915700040990487,27.166623041033745,22.397011332741627,,24.030812624671185,,21.915700040990487,27.166623041033745,21.915700040990487,27.166623041033745,21.915700040990487,27.157807500101626,27.979675083071925,1,1,1.375283791916445,,reldom2_s033,001,2025-03-12_16h59.41.814,soundcheck2_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,27.979675083071925,27.979675083071925,27.979675083071925,27.979675083071925,27.979675083071925,27.979675083071925,27.979675083071925,27.979675083071925,27.96567320767014,27.979675083071925,27.979675083071925,27.979675083071925,27.96567320767014,27.979675083071925,27.979675083071925,27.979675083071925,30.094407625030726,33.95991170802154,27.979675083071925,27.979675083071925,33.233544500079006,27.979675083071925,27.979675083071925,27.979675083071925,33.233544500079006,28.466254416682446,,30.097748874748746,,27.979675083071925,33.233544500079006,27.979675083071925,33.233544500079006,27.979675083071925,33.224939416046254,34.04176125000231,1,1,0.8784980829805136,,reldom2_s033,001,2025-03-12_16h59.41.814,soundcheck2_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,34.04176125000231,34.04176125000231,34.04176125000231,34.04176125000231,34.04176125000231,34.04176125000231,34.04176125000231,34.04176125000231,34.0265783746882,34.04176125000231,34.04176125000231,34.04176125000231,34.0265783746882,34.04176125000231,34.04176125000231,34.04176125000231,36.15562920807861,40.01612708310131,34.04176125000231,34.04176125000231,34.04176125000231,34.04176125000231,39.29160183307249,34.04176125000231,39.29160183307249,34.52480616671188,,36.158739541719356,,34.04176125000231,39.29160183307249,34.04176125000231,39.29160183307249,34.04176125000231,39.28289050003514,40.04653562500607,1,1,1.1600398339796811,,reldom2_s033,001,2025-03-12_16h59.41.814,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.04653562500607,,,,,,,
