Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,left_text.started,left_text.stopped,right_text.started,right_text.stopped,cue_file2.started,cue_file2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,fixation_text.stopped,iti_blank.started,iti_blank.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.173648958007107,7.173648958007107,2,2.7579608329979237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s027,001,2025-02-26_15h54.58.335,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s027,001,2025-02-26_15h54.58.335,soundcheck2_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,2,,,,,0,0,0,0,,,,,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.06567887531322,10.090666792006232,10.090666792006232,10.090666792006232,10.06567887531322,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.082345541979885,10.090666792006232,10.082345541979885,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,10.090666792006232,12.115034749993356,15.380497749982169,15.380497749982169,None,0,,,reldom2_s027,001,2025-02-26_15h54.58.335,soundcheck2_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,15.380497749982169,15.380497749982169,15.380497749982169,15.380497749982169,15.380497749982169,15.380497749982169,15.380497749982169,15.380497749982169,15.366019541329782,15.380497749982169,15.380497749982169,15.380497749982169,15.366019541329782,15.380497749982169,15.380497749982169,15.380497749982169,17.48814037500415,21.452711166988593,15.380497749982169,15.380497749982169,20.63480395800434,15.380497749982169,15.380497749982169,15.380497749982169,20.63480395800434,15.875796583659637,,17.490935666665123,,15.380497749982169,20.63480395800434,15.380497749982169,20.63480395800434,15.380497749982169,20.62092612500419,21.452711166988593,1,1,1.5325191250012722,,reldom2_s027,001,2025-02-26_15h54.58.335,soundcheck2_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,21.452711166988593,21.452711166988593,21.452711166988593,21.452711166988593,21.452711166988593,21.452711166988593,21.452711166988593,21.452711166988593,21.43640062464789,21.452711166988593,21.452711166988593,21.452711166988593,21.43640062464789,21.452711166988593,21.452711166988593,21.452711166988593,23.572020791994873,27.507471832999727,21.452711166988593,21.452711166988593,21.452711166988593,21.452711166988593,26.69866145798005,21.452711166988593,26.69866145798005,21.954395791665107,,23.57478237466809,,21.452711166988593,26.69866145798005,21.452711166988593,26.69866145798005,21.452711166988593,26.685969291982474,27.507471832999727,1,1,1.270002042001579,,reldom2_s027,001,2025-02-26_15h54.58.335,soundcheck2_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,27.507471832999727,27.507471832999727,27.507471832999727,27.507471832999727,27.507471832999727,27.507471832999727,27.507471832999727,27.507471832999727,27.4923374996734,27.507471832999727,27.507471832999727,27.507471832999727,27.4923374996734,27.507471832999727,27.507471832999727,27.507471832999727,29.638895207986934,33.49036533298204,27.507471832999727,27.507471832999727,32.76266624999698,27.507471832999727,27.507471832999727,27.507471832999727,32.76266624999698,27.996024416647074,28.995293582993327,29.62506545865132,,27.507471832999727,32.76266624999698,27.507471832999727,32.76266624999698,27.507471832999727,32.74927891700645,33.57451645800029,1,1,1.2527165000210516,,reldom2_s027,001,2025-02-26_15h54.58.335,soundcheck2_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,33.57451645800029,33.57451645800029,33.57451645800029,33.57451645800029,33.57451645800029,33.57451645800029,33.57451645800029,33.57451645800029,33.5570319996487,33.57451645800029,33.57451645800029,33.57451645800029,33.5570319996487,33.57451645800029,33.57451645800029,33.57451645800029,35.68866304200492,39.553845707996516,33.57451645800029,33.57451645800029,33.57451645800029,33.57451645800029,38.82672987499973,33.57451645800029,38.82672987499973,34.05574124967485,,35.69133599967269,,33.57451645800029,38.82672987499973,33.57451645800029,38.82672987499973,33.57451645800029,38.814134249987546,39.58551604198874,1,1,0.7394290840020403,,reldom2_s027,001,2025-02-26_15h54.58.335,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58551604198874,,,,,,,
