Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,left_text.started,left_text.stopped,right_text.started,right_text.stopped,cue_file2.started,cue_file2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,fixation_text.stopped,iti_blank.started,iti_blank.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19046004200004,10.19046004200004,2,5.066714290999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s013,001,2025-02-14_12h03.35.544,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s013,001,2025-02-14_12h03.35.544,soundcheck2_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,2,,,,,0,0,0,0,,,,,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.374948208666744,15.415128834000143,15.415128834000143,15.415128834000143,15.374948208666744,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.408281542000077,15.415128834000143,15.408281542000077,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,15.415128834000143,17.418069792000097,20.71375954200016,20.71375954200016,None,0,,,reldom2_s013,001,2025-02-14_12h03.35.544,soundcheck2_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,20.71375954200016,20.71375954200016,20.71375954200016,20.71375954200016,20.71375954200016,20.71375954200016,20.71375954200016,20.71375954200016,20.698506875333425,20.71375954200016,20.71375954200016,20.71375954200016,20.698506875333425,20.71375954200016,20.71375954200016,20.71375954200016,22.82121425000014,26.700443167000003,20.71375954200016,20.71375954200016,25.982183000000077,20.71375954200016,20.71375954200016,20.71375954200016,25.982183000000077,21.197679041666802,22.193619042000137,22.824614500666726,,20.71375954200016,25.982183000000077,20.71375954200016,25.982183000000077,20.71375954200016,25.96544295900003,26.781566250000196,1,1,1.0989238329998443,,reldom2_s013,001,2025-02-14_12h03.35.544,soundcheck2_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,26.781566250000196,26.781566250000196,26.781566250000196,26.781566250000196,26.781566250000196,26.781566250000196,26.781566250000196,26.781566250000196,26.76710983366667,26.781566250000196,26.781566250000196,26.781566250000196,26.76710983366667,26.781566250000196,26.781566250000196,26.781566250000196,28.892832209000062,32.75636079200012,26.781566250000196,26.781566250000196,26.781566250000196,26.781566250000196,32.02945008400002,26.781566250000196,32.02945008400002,27.262115250666753,,28.895833166666776,,26.781566250000196,32.02945008400002,26.781566250000196,32.02945008400002,26.781566250000196,32.017320500000096,32.83816158400009,1,1,3.2455568329996822,,reldom2_s013,001,2025-02-14_12h03.35.544,soundcheck2_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/left_away_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/left_box.png,stimulus/soundcheck_stim/left_yes.png,stimulus/soundcheck_stim/left_no.png,None,Left,None,Left,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,5.25,0,0.0,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,32.83816158400009,32.83816158400009,32.83816158400009,32.83816158400009,32.83816158400009,32.83816158400009,32.83816158400009,32.83816158400009,32.823027458666786,32.83816158400009,32.83816158400009,32.83816158400009,32.823027458666786,32.83816158400009,32.83816158400009,32.83816158400009,34.969507167000074,38.892418042000145,32.83816158400009,32.83816158400009,38.08532991700008,32.83816158400009,32.83816158400009,32.83816158400009,38.08532991700008,33.32601445866682,,34.956343458666666,,32.83816158400009,38.08532991700008,32.83816158400009,38.08532991700008,32.83816158400009,38.07671429200013,38.892418042000145,1,1,0.8926704989996779,,reldom2_s013,001,2025-02-14_12h03.35.544,soundcheck2_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/right_toward_250h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/soundcheck_stim/right_box.png,stimulus/soundcheck_stim/right_yes.png,stimulus/soundcheck_stim/right_no.png,None,Right,None,Right,1,0,0,5.25,0,5.25,0,5.25,0,0,0.75,0,0,0,0,0.0,0,5.25,0,0,0,0,0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,38.892418042000145,38.892418042000145,38.892418042000145,38.892418042000145,38.892418042000145,38.892418042000145,38.892418042000145,38.892418042000145,38.878440541666635,38.892418042000145,38.892418042000145,38.892418042000145,38.878440541666635,38.892418042000145,38.892418042000145,38.892418042000145,41.003564333999975,44.89215904200023,38.892418042000145,38.892418042000145,38.892418042000145,38.892418042000145,44.140739624999924,38.892418042000145,44.140739624999924,39.38378825066685,,41.003839583666846,,38.892418042000145,44.140739624999924,38.892418042000145,44.140739624999924,38.892418042000145,44.12640283399992,44.89215904200023,1,1,1.0314647489999516,,reldom2_s013,001,2025-02-14_12h03.35.544,soundcheck2_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.89215904200023,,,,,,,
