Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.53584758299985,11.53584758299985,2,1.0789995420000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5,,,,,0,5,5,5,,,,,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.714502416333865,43.80260483300026,43.80260483300026,43.80260483300026,43.714502416333865,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.76450241633386,43.80260483300026,43.80260483300026,43.80260483300026,43.76450241633386,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,49.118888583000626,49.118888583000626,48.87923412500004,None,0,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
5,Second_Order,1.0,audwhat,stimulus/audwhat_stim/percussion xylophone_high-pitch_F_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/string cello_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_F_loud.wav,stimulus/audwhat_stim/match_blank.png,stimulus/audwhat_stim/match_box.png,stimulus/audwhat_stim/match_yes.png,stimulus/audwhat_stim/match_no.png,1.0,Match,Category,Category,1,5.25,0,5.25,0,5.25,0,5.25,0,0.75,0.75,0,0,0,0,0,0,0,0,1,0.5,1,2.125,1,0.5,1,2.125,0,,,,,0,6,6,6,,,,,49.118888583000626,54.363691125000514,49.118888583000626,49.118888583000626,49.118888583000626,49.118888583000626,49.566381915999955,50.55184816600013,49.580156332667016,50.568556958000045,51.20566654100003,52.203397625000434,51.21787529166728,,54.363691125000514,55.21342579100019,57.25414133300001,61.12190145800014,55.21342579100019,55.21342579100019,60.496518040999945,55.21342579100019,55.21342579100019,55.21342579100019,55.21342579100019,55.65922804100046,56.72358616600013,55.631549082666666,,57.25414133300001,58.32205191600042,57.22661270766663,,55.21342579100019,60.496518040999945,55.21342579100019,60.496518040999945,60.41267408300064,61.2732771660003,55.21342579100019,1,1,0.848078084000008,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
6,Second_Order,1.0,audwhat,stimulus/audwhat_stim/percussion xylophone_high-pitch_D_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_D_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_F_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_D_loud.wav,stimulus/audwhat_stim/match_blank.png,stimulus/audwhat_stim/match_box.png,stimulus/audwhat_stim/match_yes.png,stimulus/audwhat_stim/match_no.png,2.0,Match,Pitch,Category,2,5.25,0,5.25,0,5.25,0,5.25,0,0.75,0.75,0,0,0,0,0,0,0,0,1,0.5,1,2.125,1,0.5,1,2.125,0,,,,,0,7,7,7,,,,,61.2732771660003,66.52442437500031,61.2732771660003,61.2732771660003,61.2732771660003,61.2732771660003,61.7280021659999,62.713699541000096,61.74167954166684,62.731512666000526,63.35070087500026,64.34802216600019,63.36281329166674,,66.52442437500031,67.36199600000054,69.44036483299988,73.29885833300068,67.36199600000054,67.36199600000054,72.67608579100033,67.36199600000054,67.36199600000054,67.36199600000054,67.36199600000054,67.8090286659999,68.86767083300037,67.78158462466696,,69.44036483299988,70.50492779100023,69.4126236666673,70.46027741600028,67.36199600000054,72.67608579100033,67.36199600000054,72.67608579100033,72.54842295800063,73.52033670800029,67.36199600000054,1,0,0.8782404590001534,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5,,,,,0,8,8,8,,,,,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.432191666334,73.52033670800029,73.52033670800029,73.52033670800029,73.432191666334,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.48219166633402,73.52033670800029,73.52033670800029,73.52033670800029,73.48219166633402,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,73.52033670800029,78.90566200000012,78.90566200000012,78.57423666600062,None,0,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
7,First_Order,2.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string cello_low-pitch_F_loud.wav,stimulus/audwhat_stim/string viola_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,9,9,9,,,,,78.90566200000012,78.90566200000012,78.90566200000012,78.90566200000012,78.90566200000012,78.90566200000012,78.90566200000012,78.90566200000012,78.82644445800034,78.90566200000012,78.90566200000012,78.90566200000012,78.82644445800034,78.90566200000012,78.90566200000012,78.90566200000012,81.00866437500008,84.86334933299986,78.90566200000012,78.90566200000012,84.19232454099983,78.90566200000012,78.90566200000012,78.90566200000012,78.90566200000012,79.35322954100047,80.38210908300061,79.32508983266713,,81.00866437500008,82.03983745799997,80.9806918746665,,78.90566200000012,84.19232454099983,78.90566200000012,84.19232454099983,84.10818650000056,85.06733354100015,78.90566200000012,1,0,1.7170265840004504,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
8,First_Order,2.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string cello_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Pitch,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,10,10,10,,,,,85.06733354100015,85.06733354100015,85.06733354100015,85.06733354100015,85.06733354100015,85.06733354100015,85.06733354100015,85.06733354100015,84.99668266633319,85.06733354100015,85.06733354100015,85.06733354100015,84.99668266633319,85.06733354100015,85.06733354100015,85.06733354100015,87.17936666600053,91.01252466599999,85.06733354100015,85.06733354100015,90.37917095800003,85.06733354100015,85.06733354100015,85.06733354100015,85.06733354100015,85.51759333300015,86.55164100000002,85.48879979166692,,87.17936666600053,88.21670916600033,87.15086487466694,88.21670916600033,85.06733354100015,90.37917095800003,85.06733354100015,90.37917095800003,90.29326262500035,91.25886645799983,85.06733354100015,2,0,1.409474625999792,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
9,First_Order,2.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_high-pitch_F_loud.wav,stimulus/audwhat_stim/string cello_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Category,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,11,11,11,,,,,91.25886645799983,91.25886645799983,91.25886645799983,91.25886645799983,91.25886645799983,91.25886645799983,91.25886645799983,91.25886645799983,91.18531195833395,91.25886645799983,91.25886645799983,91.25886645799983,91.18531195833395,91.25886645799983,91.25886645799983,91.25886645799983,93.34691145800025,97.20322537500033,91.25886645799983,91.25886645799983,96.56783195800017,91.25886645799983,91.25886645799983,91.25886645799983,91.25886645799983,91.71270716600065,92.75744629100063,91.68376874966658,,93.34691145800025,94.39434633300061,93.31785662466724,,91.25886645799983,96.56783195800017,91.25886645799983,96.56783195800017,96.48187145800057,97.45082070799981,91.25886645799983,1,1,0.8064535840003373,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
10,First_Order,2.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string cello_low-pitch_F_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_F_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Pitch,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,12,12,12,,,,,97.45082070799981,97.45082070799981,97.45082070799981,97.45082070799981,97.45082070799981,97.45082070799981,97.45082070799981,97.45082070799981,97.37644745833325,97.45082070799981,97.45082070799981,97.45082070799981,97.37644745833325,97.45082070799981,97.45082070799981,97.45082070799981,99.54992112499986,103.41534775000036,97.45082070799981,97.45082070799981,102.73691441600022,97.45082070799981,97.45082070799981,97.45082070799981,97.45082070799981,97.90929754100034,98.9571998750007,97.87983970766733,,99.54992112499986,100.59677645800002,99.52077874966677,100.55135687500024,97.45082070799981,102.73691441600022,97.45082070799981,102.73691441600022,102.6509272910007,103.64372320800067,97.45082070799981,2,1,1.4853888340003323,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,7,,,,,0,13,13,13,,,,,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.54868108333369,103.64372320800067,103.64372320800067,103.64372320800067,103.54868108333369,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.5986810833337,103.64372320800067,103.64372320800067,103.64372320800067,103.5986810833337,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,103.64372320800067,108.87716004100002,108.87716004100002,110.80337845800022,None,0,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
11,Second_Order,2.0,audwhat,stimulus/audwhat_stim/string cello_high-pitch_D_loud.wav,stimulus/audwhat_stim/string cello_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/percussion mallet_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/string viola_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/match_blank.png,stimulus/audwhat_stim/match_box.png,stimulus/audwhat_stim/match_yes.png,stimulus/audwhat_stim/match_no.png,2.0,Match,Category,Pitch,2,5.25,0,5.25,0,5.25,0,5.25,0,0.75,0.75,0,0,0,0,0,0,0,0,1,0.5,1,2.125,1,0.5,1,2.125,0,,,,,0,14,14,14,,,,,110.80337845800022,116.05129762500019,110.80337845800022,110.80337845800022,110.80337845800022,110.80337845800022,111.25868029100002,112.2461579159999,111.27246958266666,,112.88073662500028,113.87988649999988,112.89380141666722,,116.05129762500019,116.90580329100067,118.94510887500019,122.82704637500046,116.90580329100067,116.90580329100067,122.18820275000053,116.90580329100067,116.90580329100067,116.90580329100067,116.90580329100067,117.35698483299984,118.39923729100065,117.32815312466688,,118.94510887500019,119.99607920800008,118.91639354166661,,116.90580329100067,122.18820275000053,116.90580329100067,122.18820275000053,122.10320883300028,122.98340954100058,116.90580329100067,1,0,1.709216625999943,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
