Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.115289833047427,18.115289833047427,2,1.6603090830612928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,,,,,0,0,0,0,,,,,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,19.913778833377485,20.012918499996886,20.012918499996886,20.012918499996886,19.913778833377485,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,19.963778833377486,20.012918499996886,20.012918499996886,20.012918499996886,19.963778833377486,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,20.012918499996886,25.206529875053093,25.206529875053093,26.22501795797143,None,0,,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_280h.wav,stimulus/audwhere_stim/right_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,26.22501795797143,26.22501795797143,26.22501795797143,26.22501795797143,26.22501795797143,26.22501795797143,26.22501795797143,26.22501795797143,26.14583483301103,26.22501795797143,26.22501795797143,26.22501795797143,26.14583483301103,26.22501795797143,26.22501795797143,26.22501795797143,28.29669016704429,32.19199662504252,26.22501795797143,26.22501795797143,31.5201685000211,26.22501795797143,26.22501795797143,26.22501795797143,26.22501795797143,26.709996000048704,27.767624292057008,26.678042083691494,,28.29669016704429,29.3592042500386,28.264848583672816,,26.22501795797143,31.5201685000211,26.22501795797143,31.5201685000211,31.430431958055124,32.40139433299191,26.22501795797143,2,0,1.3549773329868913,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_290h.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,32.40139433299191,32.40139433299191,32.40139433299191,32.40139433299191,32.40139433299191,32.40139433299191,32.40139433299191,32.40139433299191,32.32532995837585,32.40139433299191,32.40139433299191,32.40139433299191,32.32532995837585,32.40139433299191,32.40139433299191,32.40139433299191,34.473945416975766,38.37322754203342,32.40139433299191,32.40139433299191,37.701364082982764,32.40139433299191,32.40139433299191,32.40139433299191,32.40139433299191,32.88303945795633,33.94463441695552,32.85138245864461,,34.473945416975766,35.53556470805779,34.44303083367801,,32.40139433299191,37.701364082982764,32.40139433299191,37.701364082982764,37.61080037499778,38.580934957950376,32.40139433299191,2,0,1.278461750014685,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/right_away_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,38.580934957950376,38.580934957950376,38.580934957950376,38.580934957950376,38.580934957950376,38.580934957950376,38.580934957950376,38.580934957950376,38.50656087536675,38.580934957950376,38.580934957950376,38.580934957950376,38.50656087536675,38.580934957950376,38.580934957950376,38.580934957950376,40.69906295801047,44.53447304200381,38.580934957950376,38.580934957950376,43.863366374978796,38.580934957950376,38.580934957950376,38.580934957950376,38.580934957950376,39.06295037502423,40.12281716696452,39.03149304172645,,40.69906295801047,41.75494995794725,40.66772658372453,,38.580934957950376,43.863366374978796,38.580934957950376,43.863366374978796,43.821306416997686,44.781799916992895,38.580934957950376,1,0,1.4820437090238556,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,44.781799916992895,44.781799916992895,44.781799916992895,44.781799916992895,44.781799916992895,44.781799916992895,44.781799916992895,44.781799916992895,44.709114000348684,44.781799916992895,44.781799916992895,44.781799916992895,44.709114000348684,44.781799916992895,44.781799916992895,44.781799916992895,46.857327625039034,50.76379162503872,44.781799916992895,44.781799916992895,50.09236516698729,44.781799916992895,44.781799916992895,44.781799916992895,44.781799916992895,45.26138512499165,46.32823545800056,45.229695458725715,,46.857327625039034,47.92124399996828,46.82569691661435,,44.781799916992895,50.09236516698729,44.781799916992895,50.09236516698729,50.001841707970016,50.9922128750477,44.781799916992895,1,0,1.3155974169494584,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,,,,,0,5,5,5,,,,,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.89712495837205,50.9922128750477,50.9922128750477,50.9922128750477,50.89712495837205,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.94712495837205,50.9922128750477,50.9922128750477,50.9922128750477,50.94712495837205,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,50.9922128750477,56.20040550001431,56.20040550001431,57.147387749981135,None,0,,,reldom2_s008,001,2025-02-06_11h58.38.530,audwhere_practice_AC,2022.2.5,None,
