6.3720 	WARNING 	Requested an unavailable screen number - using first available.
6.3737 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [800, 600]. Using actual size
7.4530 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.4544 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8883836520>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8829a55e20>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4547 	EXP 	window1: mouseVisible = True
7.4553 	EXP 	window1: mouseVisible = False
7.4553 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
7.4554 	EXP 	window1: recordFrameIntervals = False
7.5362 	EXP 	window1: recordFrameIntervals = True
8.3718 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.8243 	EXP 	Created text_start = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_start', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Press 2 when you are ready to begin.', units='height', win=Window(...), wrapWidth=1)
9.8246 	EXP 	Created text2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.8303 	EXP 	Created cue_file1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cue_file1', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
9.8326 	EXP 	Created image_1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_1', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
9.8351 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
9.8374 	EXP 	Created sound_icon1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='sound_icon1', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
9.9698 	EXP 	Sound sound_1 set volume 1.000
9.9732 	EXP 	Created sound_icon2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='sound_icon2', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
9.9737 	EXP 	Sound sound_2 set volume 1.000
10.0449 	EXP 	Created image_blank_1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='stimulus/viswhere_stim/blank_white.png', interpolate=True, mask=None, maskParams=None, name='image_blank_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0., 0.]), texRes=128.0, units='height', win=Window(...))
10.0468 	EXP 	Created fixation_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='x', units='height', win=Window(...), wrapWidth=1)
10.0498 	EXP 	Created cue_file2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cue_file2', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.0528 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.0554 	EXP 	Created image_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_4', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.0580 	EXP 	Created sound_icon3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='sound_icon3', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.0583 	EXP 	Sound sound_3 set volume 1.000
10.0607 	EXP 	Created sound_icon4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='sound_icon4', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.0611 	EXP 	Sound sound_4 set volume 1.000
10.0638 	EXP 	Created response_yes = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='response_yes', opacity=0.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.0661 	EXP 	Created response_no = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='response_no', opacity=0.0, ori=1.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.1260 	EXP 	Created iti_blank = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-12.0, flipHoriz=False, flipVert=False, image='stimulus/viswhere_stim/blank_white.png', interpolate=True, mask=None, maskParams=None, name='iti_blank', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.1299 	WARNING 	t of last frame was 1758.45ms (=1/0)
10.1299 	EXP 	text_start: autoDraw = True
11.0415 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
11.0416 	EXP 	New trial (rep=0, index=0): None
11.0453 	DATA 	Keypress: 2
11.0471 	EXP 	text_start: autoDraw = False
11.0471 	EXP 	text2: height = 0.05
11.0471 	EXP 	text2: height = 0.05
11.0471 	EXP 	text2: height = 0.05
11.0471 	EXP 	text2: text = 'X'
11.0471 	EXP 	text2: autoDraw = True
28.2528 	EXP 	New trial (rep=1, index=0): None
28.2561 	DATA 	Keypress: 5
28.2577 	EXP 	text2: autoDraw = False
28.2577 	EXP 	text2: text = 'X'
28.2577 	EXP 	text2: autoDraw = True
30.2442 	EXP 	New trial (rep=2, index=0): None
30.2484 	DATA 	Keypress: 5
30.2544 	EXP 	text2: autoDraw = False
30.2544 	EXP 	text2: text = 'X'
30.2544 	EXP 	text2: autoDraw = True
32.2449 	EXP 	New trial (rep=3, index=0): None
32.2477 	DATA 	Keypress: 5
32.2492 	EXP 	text2: autoDraw = False
32.2492 	EXP 	text2: text = 'X'
32.2492 	EXP 	text2: autoDraw = True
34.2762 	EXP 	Imported Aud-B_AC.csv as conditions, 65 conditions, 44 params
34.2765 	EXP 	Created sequence: sequential, trialTypes=65, nReps=1, seed=None
34.2769 	EXP 	New trial (rep=0, index=0): OrderedDict([('Trial', 0), ('Order', 0.0), ('Block', None), ('Type', 'fixation'), ('Stimuli_File1', 'stimulus/audwhat_stim/blank_white.png'), ('Stimuli_File2', 'stimulus/audwhat_stim/blank_white.png'), ('Stimuli_File3', 'stimulus/audwhere_stim/blank_white.png'), ('Stimuli_File4', 'stimulus/audwhere_stim/blank_white.png'), ('Cue_File1', 'stimulus/audwhat_stim/blank_white.png'), ('Cue_File2', 'stimulus/audwhat_stim/blank_white.png'), ('Response_File_Yes', 'stimulus/audwhat_stim/blank_white.png'), ('Response_File_No', 'stimulus/audwhat_stim/blank_white.png'), ('Match', 0.0), ('Cue_Dimension', 0.0), ('Pair1_Dimension', 0.0), ('Pair2_Dimension', 0.0), ('Key', 0), ('Cue1_Duration', 0.0), ('Cue1_Onset', 0), ('Cue2_Duration', 0.0), ('Cue2_Onset', 0), ('ResponseYes_Duration', 0.0), ('ResponseYes_Onset', 0), ('ResponseNo_Duration', 0.0), ('ResponseNo_Onset', 0), ('ITI_Within', 0.0), ('ITI_Between', 0.0), ('Image1_Duration', 0), ('Image1_Onset', 0), ('Image2_Duration', 0), ('Image2_Onset', 0), ('Image3_Duration', 0), ('Image3_Onset', 0), ('Image4_Duration', 0), ('Image4_Onset', 0), ('Sound1_Duration', 0), ('Sound1_Onset', 0.0), ('Sound2_Duration', 0), ('Sound2_Onset', 0.0), ('Sound3_Duration', 0), ('Sound3_Onset', 0.0), ('Sound4_Duration', 0), ('Sound4_Onset', 0.0), ('Fixation_Duration', 16)])
34.3311 	EXP 	Sound sound_1 started
34.3310 	EXP 	Sound sound_1 stopped
34.3311 	EXP 	Sound sound_2 started
34.3313 	EXP 	Sound sound_2 stopped
34.4478 	EXP 	Sound sound_3 started
34.4344 	EXP 	Sound sound_3 stopped
34.4478 	EXP 	Sound sound_4 started
34.4348 	EXP 	Sound sound_4 stopped
34.4365 	DATA 	Keypress: 5
34.4388 	WARNING 	t of last frame was 191.04ms (=1/5)
34.4388 	EXP 	text2: autoDraw = False
34.4388 	EXP 	cue_file1: ori = 0.0
34.4388 	EXP 	cue_file1: image = 'stimulus/audwhat_stim/blank_white.png'
34.4388 	EXP 	image_1: ori = 0.0
34.4388 	EXP 	image_1: image = 'stimulus/audwhat_stim/blank_white.png'
34.4388 	EXP 	image_2: ori = 0.0
34.4388 	EXP 	image_2: image = 'stimulus/audwhat_stim/blank_white.png'
34.4388 	EXP 	sound_icon1: ori = 0.0
34.4388 	EXP 	sound_icon1: image = 'stimulus/audwhere_stim/sound_icon.png'
34.4388 	EXP 	sound_icon2: ori = 0.0
34.4388 	EXP 	sound_icon2: image = 'stimulus/audwhere_stim/sound_icon.png'
34.4388 	EXP 	cue_file1: autoDraw = True
34.4388 	EXP 	cue_file1: autoDraw = False
34.4388 	EXP 	image_1: autoDraw = True
34.4388 	EXP 	image_1: autoDraw = False
34.4388 	EXP 	image_2: autoDraw = True
34.4388 	EXP 	image_2: autoDraw = False
34.4388 	EXP 	sound_icon1: autoDraw = True
34.4388 	EXP 	sound_icon1: autoDraw = False
34.4388 	EXP 	sound_icon2: autoDraw = True
34.4388 	EXP 	sound_icon2: autoDraw = False
34.4388 	EXP 	cue_file1: autoDraw = False
34.4388 	EXP 	image_1: autoDraw = False
34.4388 	EXP 	image_2: autoDraw = False
34.4388 	EXP 	sound_icon1: autoDraw = False
34.4388 	EXP 	sound_icon2: autoDraw = False
34.4388 	EXP 	image_blank_1: autoDraw = True
34.4388 	EXP 	image_blank_1: autoDraw = False
34.4388 	EXP 	image_blank_1: autoDraw = False
34.4388 	EXP 	cue_file2: ori = 0.0
34.4388 	EXP 	cue_file2: image = 'stimulus/audwhat_stim/blank_white.png'
34.4388 	EXP 	image_3: ori = 0.0
34.4388 	EXP 	image_3: image = 'stimulus/audwhere_stim/blank_white.png'
34.4388 	EXP 	image_4: ori = 0.0
34.4388 	EXP 	image_4: image = 'stimulus/audwhere_stim/blank_white.png'
34.4388 	EXP 	sound_icon3: ori = 0.0
34.4388 	EXP 	sound_icon3: image = 'stimulus/audwhere_stim/sound_icon.png'
34.4388 	EXP 	sound_icon4: ori = 0.0
34.4388 	EXP 	sound_icon4: image = 'stimulus/audwhere_stim/sound_icon.png'
34.4388 	EXP 	response_yes: ori = 0.0
34.4388 	EXP 	response_no: ori = 0.0
34.4388 	EXP 	image_3: texRes = 128.0
34.4388 	EXP 	image_4: texRes = 128.0
34.4388 	EXP 	cue_file2: texRes = 128.0
34.4388 	EXP 	response_yes: texRes = 128.0
34.4388 	EXP 	response_no: texRes = 128.0
34.4388 	EXP 	fixation_text: autoDraw = True
34.4388 	EXP 	cue_file2: autoDraw = True
34.4388 	EXP 	cue_file2: autoDraw = False
34.4388 	EXP 	image_3: autoDraw = True
34.4388 	EXP 	image_3: autoDraw = False
34.4388 	EXP 	image_4: autoDraw = True
34.4388 	EXP 	image_4: autoDraw = False
34.4388 	EXP 	sound_icon3: autoDraw = True
34.4388 	EXP 	sound_icon3: autoDraw = False
34.4388 	EXP 	sound_icon4: autoDraw = True
34.4388 	EXP 	sound_icon4: autoDraw = False
34.4388 	EXP 	response_yes: autoDraw = True
34.4388 	EXP 	response_yes: autoDraw = False
34.4388 	EXP 	response_no: autoDraw = True
34.4388 	EXP 	response_no: autoDraw = False
34.4866 	WARNING 	t of last frame was 47.83ms (=1/20)
34.4866 	EXP 	image_3: texRes = 128.0
34.4866 	EXP 	image_4: texRes = 128.0
34.4866 	EXP 	cue_file2: texRes = 128.0
34.4866 	EXP 	response_yes: texRes = 128.0
34.4866 	EXP 	response_no: texRes = 128.0
34.5344 	WARNING 	t of last frame was 47.76ms (=1/20)
34.5344 	EXP 	image_3: texRes = 128.0
34.5344 	EXP 	image_4: texRes = 128.0
34.5344 	EXP 	cue_file2: texRes = 128.0
34.5344 	EXP 	response_yes: texRes = 128.0
34.5344 	EXP 	response_no: texRes = 128.0
34.5816 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
34.5816 	EXP 	image_3: texRes = 128.0
34.5816 	EXP 	image_4: texRes = 128.0
34.5816 	EXP 	cue_file2: texRes = 128.0
34.5816 	EXP 	response_yes: texRes = 128.0
34.5816 	EXP 	response_no: texRes = 128.0
34.6284 	EXP 	image_3: texRes = 128.0
34.6284 	EXP 	image_4: texRes = 128.0
34.6284 	EXP 	cue_file2: texRes = 128.0
34.6284 	EXP 	response_yes: texRes = 128.0
34.6284 	EXP 	response_no: texRes = 128.0
34.6756 	EXP 	image_3: texRes = 128.0
34.6756 	EXP 	image_4: texRes = 128.0
34.6756 	EXP 	cue_file2: texRes = 128.0
34.6756 	EXP 	response_yes: texRes = 128.0
34.6756 	EXP 	response_no: texRes = 128.0
34.7237 	EXP 	image_3: texRes = 128.0
34.7237 	EXP 	image_4: texRes = 128.0
34.7237 	EXP 	cue_file2: texRes = 128.0
34.7237 	EXP 	response_yes: texRes = 128.0
34.7237 	EXP 	response_no: texRes = 128.0
34.7704 	EXP 	image_3: texRes = 128.0
